,DEPARTMENT,SECTION,LOCATION,DETAIL LOCATION,TANGGAL TERIMA BARANG,JENIS  MOBIL,BULAN ASET,TAHUN ASET,SPESIFIKASI,PIC LANGSUNG,HARGA BELI,MERK,TYPE,NOPOL,NOPOL LAMA,NO RANGKA,NO MESIN,TAHUN REGISTRASI,TAHUN PEMBUATAN,KETOGORI USIA,USIA,KEBERADAAN BPKB,NO BPKB,NAMA DI BPKB,ALAMAT BPKB,KEBERADAAN FAKTUR & SERTIFIKAT,NO FAKTUR,WARNA KABIN,WARNA BOX,WARNA PLAT,TIPE KAROSERI / BOX,PANJANG KAROSERI LUAR,LEBAR KAROSERI LUAR,TINGGI KAROSERI LUAR,KEBERADAAN PAJAK,NO PAJAK,NAMA PAJAK,ALAMAT PAJAK,STATUS STNK,NO STNK,NAMA STNK,ALAMAT STNK,VENDOR GPS,GPS,IMEI/SN,NO HP GPS,JENIS JARINGAN,PAJAK,STNK,BIAYA PAJAK,JATUH TEMPO PAJAK,JATUH TEMPO STNK,MONTH,NO KEUR,EXP KIR,JATUH TEMPO KIR,MONTH,STATUS KEUR,SO 1 JULI 25,KEY
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,AAM-PEKANBARU,PADANG,,CDE STANDART,12,2017,,,,MITSUBISHI,FE71 (4X2) M/T,B 9814 PCM,,MHMFE71P1HK061545,4D34T-R97971,,2017,6-10 Tahun,9,ADA,N-05393547,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,001618/1117/01,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,15/11/2026,15/11/2027,Rp4.069.000,-260,-625,11,JKT1735473,12/06/2026,-104,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,PURWOKERTO,PURWOKERTO,31/12/2017,CDE STANDART,12,2017,,,,MITSUBISHI,FE71 (4X2) M/T,B 9496 SYO,,MHMFE71P1HK061548,4D34T-R97972,,2017,6-10 Tahun,9,ADA,N-05393583,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,001615/1117/01,MERAH,,KUNING,BESI,330,183,230,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - FULL SENSOR,,,,15/11/2026,15/11/2027,Rp1.139.500,-260,-625,11,JKT1735073,05/05/2026,-66,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-BANDUNG,AAM-BANDUNG,31/12/2017,PICK UP BOX,12,2017,,,,SUZUKI,GC415T (4X2) M/T,B 9847 PCM,,MHYGDN41THJ-436114,G15AID-394516,,2017,6-10 Tahun,9,ADA,N-05398149,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,R4919235,PUTIH SILVER,,PUTIH,ALUMUNIUM,256,170,170,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,21/11/2026,21/11/2027,Rp2.378.100,-266,-631,11,JKT1734821,30/06/2026,-122,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-BANDUNG,AAM-BANDUNG,31/12/2017,PICK UP BOX,12,2017,,,,SUZUKI,GC415T (4X2) M/T,B 9848 PCM,,MHYGDN41THJ-442995,G15AID-404343,,2017,6-10 Tahun,9,ADA,N-05398150,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,R4919241,PUTIH SILVER,,PUTIH,ALUMUNIUM,256,175,180,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,21/11/2026,21/11/2027,Rp2.378.100,-266,-631,11,JKT1735569,12/06/2026,-104,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-JK3,AAM-JK3,,PICK UP BOX,12,2017,,,,SUZUKI,GC415T (4X2) M/T,B 9490 SYO,,MHYGDN41THJ-442943,G15AID-404328,,2017,6-10 Tahun,9,ADA,N-05397759,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,R4919237,PUTIH SILVER,,KUNING,ALUMUNIUM,250.7,170.5,170.1,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,21/11/2026,21/11/2027,Rp478.300,-266,-631,11,JKT1735567,03/07/2026,-125,7,RESMI,,FLEET
BPKB ADA - POSISI KENDARAAN TIDAK DIKETAHUI,BELUM DI KETAHUI,BELUM DI KETAHUI,BELUM DI KETAHUI,BELUM DI KETAHUI,,,00,0000,,,,MITSUBISHI,,DD 4755 A,,T200CU-01319,4DR5-204477,,1970,16 Tahun Lebih,56,ADA,2000457R,UNILEVER INDONESIA,JL. RANGGONG NO.6 UP,TIDAK ADA,14.317/76,ABU-ABU,,HITAM,,,,,,,,,,,,,,TIDAK ADA,,,,,,,,,,,,,,,,NON FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,PICK UP BOX,12,2017,,,,SUZUKI,GC415T (4X2) M/T,B 9495 SYO,,MHYGDN41THJ-442935,G15AID-404322,,2017,6-10 Tahun,9,ADA,N-05398131,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,R4919236,PUTIH SILVER,,KUNING,ALUMUNIUM,257,175,180,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - FULL SENSOR,869604067418557,085193635376,,21/11/2026,21/11/2027,Rp701.800,-266,-631,11,JKT1735568,11/03/2026,-11,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,31/12/2017,PICK UP BOX,12,2017,,,,SUZUKI,GC415T (4X2) M/T,B 9846 PCM,,MHYGDN41THJ443019,G15AID-404282,,2017,6-10 Tahun,9,ADA,N-05397718,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,R4919238,PUTIH SILVER,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862273048197404,085170146979C,,21/11/2026,21/11/2027,Rp2.378.100,-266,-631,11,JKT1735622,18/04/2026,-49,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,PICK UP BOX,12,2017,,,,SUZUKI,GC 415 T (4X2) M/T,B 9853 PCM,,MHYGDN41THJ-435955,G15AID-394368,,2017,6-10 Tahun,9,ADA,N-05398325,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,R4919234,PUTIH SILVER,,PUTIH,ALUMUNIUM,256,176,169,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,21/11/2026,21/11/2027,Rp2.378.100,-266,-631,11,JKT1735624,24/04/2026,-55,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,31/12/2017,PICK UP BOX,12,2017,,,,SUZUKI,GC415T (4X2) M/T,B 9845 PCM,,MHYGDN41THJ442947,G15AID-404301,,2017,6-10 Tahun,9,ADA,N-05397717,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,R4919240,PUTIH SILVER,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,868998036287411,08115971876C,,21/11/2025,21/11/2027,Rp2.378.100,99,-631,11,JKT1735623,21/02/2026,7,2,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-JK3,AAM-JK3,,PICK UP BOX,12,2022,,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9875 TXV,,MHYHDC61TNJ242420,K15BT1423390,,2022,4-5 Tahun,4,ADA,T-02021495,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4324153,PUTIH SILVER,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,22/11/2026,22/11/2027,ETLE,-267,-632,11,JKT2225530,09/07/2026,-131,7,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,PICK UP BOX,12,2022,,,,SUZUKI,AEV415PCL (24X2MT),B 9879 TXV,,MHYDHC61TNJ249207,K15BT1441666,,2022,4-5 Tahun,4,ADA,T-02023083,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4324224,PUTIH SILVER,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,22/11/2026,22/11/2027,Rp546.700,-267,-632,11,JKT2225529,30/06/2026,-122,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,TEGAL,TEGAL,,PICK UP BOX,12,2022,,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9877 TXV,,MHYHDC61TNJ245117,K15BT1430234,,2022,4-5 Tahun,4,ADA,T-02021521,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4324154,PUTIH SILVER,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,22/11/2026,22/11/2027,Rp815.700,-267,-632,11,JKT2225531,09/08/2026,-162,8,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,PALEMBANG,PALEMBANG,,CDD LONG,01,2017,,,,MITSUBISHI,FE84 G (4X2) M/T,B 9858 PCM,,MHMFE84P8HK011947,4D34T-RX5306,,2017,6-10 Tahun,9,ADA,N-05399827,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,002739/1117/01,MERAH,,PUTIH,BESI,590,210,233,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,24/11/2026,24/11/2027,Rp5.154.000,-269,-634,11,JKT1800265,05/05/2026,-66,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,PEKANBARU,PEKANBARU,,CDD LONG,01,2017,,,,MITSUBISHI,FE84 G (4X2) M/T,B 9857 PCM,,MHMFE84P8HK011949,4D34T-RX5299,,2017,6-10 Tahun,9,ADA,N-05399671,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,002740/1117/01,MERAH,,PUTIH,BESI,591,200,270,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,24/11/2026,24/11/2027,Rp5.154.000,-269,-634,11,JKT1800186,12/06/2026,-104,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,PICK UP BOX,00,2014,,,,SUZUKI,GC 415 T (4X2) M/T,DD 8755 RT,,MHYGDN41TEJ405278,G15AID321446,,2014,11-15 Tahun,12,TIDAK ADA,,PT. LESTARI JAYA RAYA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,,PUTIH SILVER,,HITAM,ALUMUNIUM,250,169,175,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,ADA - FULL SENSOR,868998036257521,08115939745C,,30/11/2026,30/11/2027,Rp2.507.916,-275,-640,11,JKT1427133,09/11/2025,111,11,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDD LONG,12,2017,,,,MITSUBISHI,FE84 G (4X2) M/T,B 9883 PCM,,MHMFE84P8HK011967,4D34T-RX5621,,2017,6-10 Tahun,9,ADA,N-05408118,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,004049/1117/01,MERAH,,PUTIH,BESI,510,260,214,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,868998036258222,08115971844C,,06/12/2026,06/12/2027,Rp5.194.000,-281,-646,12,JKT1800437,14/04/2026,-45,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,MEDAN,MEDAN,,CDD LONG,12,2017,,,,MITSUBISHI,FE84 G (4X2) M/T,B 9882 PCM,OK,MHMFE84P8HK011968,4D34T-RX5623,,2017,6-10 Tahun,9,ADA,N-05408117,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,004050/1117/01,MERAH,,PUTIH,BESI,590,210,233,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,06/12/2026,06/12/2027,Rp5.154.000,-281,-646,12,JKT1800818,02/06/2026,-94,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDD LONG,00,2012,,,,TOYOTA,DYNA 130 XT LONG,B 9398 PCF,,MHFC1JU43C5064098,W04DT-RJ66065,,2012,11-15 Tahun,14,ADA,J-04761020,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,JGF/00152/JU43/2012,MERAH,,PUTIH,BESI,163,213,207,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,868998036257679,08115971867C,,21/12/2025,21/12/2027,Rp3.678.400,69,-661,12,JKT1303116,07/04/2026,-38,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDD LONG,00,2012,,,,TOYOTA,DYNA 130 XT LONG,B 9400 PCF,,MHFC1JU43C5063804,W04DT-RJ65761,,2012,11-15 Tahun,14,ADA,J-04761018,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,JGF/00153/JU43/2012,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862273048269450,085153344314C,,21/12/2026,21/12/2027,Rp3.678.400,-296,-661,12,JKT1300932,05/05/2026,-66,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,LAMPUNG,LAMPUNG,,CDD LONG,00,2012,,,,TOYOTA,DYNA 130 XT LONG,B 9399 PCF,,MHFC1JU43C5064551,W04DT-RJ66309,,2012,11-15 Tahun,14,ADA,J-04761019,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,JGF/00151/JU43/2012,MERAH,,PUTIH,BESI,560,222,200,ADA,2288776,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,7317395,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,21/12/2026,21/12/2027,Rp3.678.400,-296,-661,12,JKT1303117,30/06/2026,-122,6,RESMI,OK,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDD LONG,00,2012,,,,TOYOTA,DYNA 130 XT LONG,B 9434 PCF,,MHFC1JU43C5063797,W04DT-RJ65704,,2012,11-15 Tahun,14,ADA,J-05205049,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,JGF/00154/JU43/2012,MERAH,,PUTIH,BESI,554,200,201,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862273048264626,085170146992C,,02/01/2027,02/01/2028,Rp3.678.400,-308,-673,1,JKT1300907,08/03/2026,-8,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,GENERAL AFFAIR,CABANG,MAKASSAR,MAKASSAR,,MOBIL OPERASIONAL,00,2013,,PAK GANDI,,TOYOTA,ALPHARD 2.4 G A/T,DD 1830 QZ,,JTEGD21H9C8232553,2AZH895516,,2012,11-15 Tahun,14,ADA,N-08632892,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,ADA,IRF/00007/GD21/2012,HITAM,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,TIDAK ADA,MOBIL PRIBADI,,,11/01/2026,11/01/2028,Rp9.241.460,48,-682,1,,,,,,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,PICK UP BOX,00,2022,,,,SUZUKI,GC 415 T M/T,DD 8958 RO,,MHYGDN41TEJ404711,G15AID-320130,,2014,11-15 Tahun,12,ADA,N-08633047,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,TIDAK ADA,R4532683,PUTIH SILVER,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,ADA - FULL SENSOR,864606044183878,08115971581C,,12/01/2026,12/01/2028,Rp2.507.916,47,-683,1,JKT1427132,04/08/2025,208,8,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDE STANDART,00,2002,,,,TOYOTA,DYNA SH 7.3,B 9626 GJ,,MHFC1BUX320001344,14B-1711347,,2002,16 Tahun Lebih,24,ADA,P-04055927,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",TIDAK ADA,IDF/0006/BUX3/2003,PUTIH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,085193620544,,15/01/2027,15/01/2028,Rp2.029.200,-321,-686,1,JKT576638,19/08/2026,-172,8,RESMI,,FLEET
PT. LESTARI JAYA RAYA,GENERAL AFFAIR,HEAD OFFICE,JAKARTA,JAKARTA,,MOTOR,07,2018,,PAK HENDRA,,YAMAHA,2DP-RA A/T,B 3137 PFA,,MH3SG3180JK002792,G3E4E-0691140,,2018,6-10 Tahun,8,ADA,N-06755452,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,00011/DP/JHJK06-1127,ABU-ABU,,PUTIH,,,,,ADA,2281151,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,15340845,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,TIDAK ADA,MOTOR,,,16/01/2026,16/01/2028,Rp475.000,43,-687,1,,,,,,,NON FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,FUSO,1,2023,,,,HINO,FG8JS2A-PGJ,B 9987 TXV,,MJEFG8JS2NJP10291,J08EWEJ13720,,2022,4-5 Tahun,4,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,085193635377,,18/01/2026,18/01/2028,Rp1.490.200,41,-689,1,JKT2301878,15/01/2026,44,1,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,FUSO,00,2006,,,,NISSAN,PKC 211 NHRN,DD 8808 MB,,MHPKC211N6K000041,FE6086476BY,2023,2006,16 Tahun Lebih,20,TIDAK ADA,I06243838R,BPKB TIDAK ADA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,,MERAH,,PUTIH,,,,,,,,,ADA,09681599,GANDI KRISYAN GOSAL,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,ADA - FULL SENSOR,868998036285068,08115971861C,,20/01/2026,20/01/2028,Rp2.654.328,39,-691,1,DE03011680,06/11/2025,114,11,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,11/11/2022,TRAILER ENGKEL,11,2022,,,,HINO,SG8JE1B-EGJ SG260TH,B 9843 SEH,,MJESG8JE1HJE11676,J08EUFJ89514,,2017,6-10 Tahun,9,ADA,N-06819144,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,FN276315,HIJAU,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,869604067431063,085193222680,2G/3G,20/01/2026,20/01/2028,Rp1.536.400,39,-691,1,JKT1804244,31/01/2026,28,1,RESMI,,FLEET
PT. MENTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,11/11/2022,TRAILER ENGKEL,11,2022,,,,HINO,SG8JE1B-EGJ SG260TH,B 9842 SEH,,MJESG8JE1HJE-11675,J08EUFJ89513,,2017,6-10 Tahun,9,ADA,N-06818953,PT. MENTARI JAYA RAYA,JL. RAYA BEKASI KM24 KEL. UJUNG MENTENG KEC.CAKUNG JAKARTA TIMUR,ADA,FN276314,HIJAU,,KUNING,,,,,,,,,,,PT. MENTARI JAYA RAYA,JL. RAYA BEKASI KM24 KEL. UJUNG MENTENG KEC.CAKUNG JAKARTA TIMUR,,ADA - FULL SENSOR,861292052818904,085170402739C,,20/01/2026,20/01/2028,ETLE,39,-691,1,JKT1804228,12/07/2026,-134,7,RESMI,OK,FLEET
